Powder(um),Grade,Speed,Power,Hatch,Thickness,Energy density,orientation,Heat temperature,Heat time,Machined,Polished,HIPed,HIP pressure (bar),Ra,Rt,Rq,Rz,f,Smax,Sa,R,N,Censor,Ref,Complete No,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,112.404,112.404,-1,2000000,0,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,112.404,112.404,-1,2000000,0,56,4,
NA,NA,1200,280,140,30,55.56,z,704,1,0,0,0,1,,,,,NA,112.404,112.404,-1,2000000,0,56,4,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,712.848,320.7816,0.1,1232834,1,24,5,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,657.744,295.9848,0.1,2500743,1,24,5,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,627.365,282.31425,0.1,2327384,1,24,5,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,575.904,259.1568,0.1,4013573,1,24,5,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,606.903,273.10635,0.1,8364980,1,24,5,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,600.384,270.1728,0.1,8753349,1,24,5,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,548.989,247.04505,0.1,10000000,0,24,5,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,546.786,246.0537,0.1,12182501,1,24,5,
38,NA,1250,170,100,30,45.33,z,650,4,0,0,0,1,,,,,50,546.746,246.0357,0.1,15694603,1,24,5,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,401.199,180.53955,0.1,27139.265,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,401.212,180.5454,0.1,29377.113,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,300.942,135.4239,0.1,87857.525,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,299.859,134.93655,0.1,95759.585,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,241.246,108.5607,0.1,198091.583,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,228.621,102.87945,0.1,198091.583,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,218.191,98.18595,0.1,197410.338,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,220.99,99.4455,0.1,273843.473,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,229.248,103.1616,0.1,318663.399,1,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,224.325,100.94625,0.1,10000000,0,43,,
NA,NA,NA,200,NA,30,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,211.7,95.265,0.1,10000000,0,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,499.348,224.7066,0.1,14349,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,499.371,224.71695,0.1,16469,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,400.137,180.06165,0.1,33834,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,350.171,157.57695,0.1,30723,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,300.967,135.43515,0.1,101886,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,280.681,126.30645,0.1,117342,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,249.95,112.4775,0.1,123140,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,250.044,112.5198,0.1,218151,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,239.633,107.83485,0.1,243576,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,231.981,104.39145,0.1,297447,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,239.689,107.86005,0.1,342571,1,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,233.658,105.1461,0.1,10000000,0,43,,
NA,NA,NA,400,NA,60,NA,XZY,800,4,0,0,0,1,NA,NA,NA,NA,60,200.722,90.3249,0.1,10000000,0,43,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,247.525,247.525,-1,66604,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,198.02,198.02,-1,2.19E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,173.267,173.267,-1,5.98E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,173.267,173.267,-1,6.99E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,148.515,148.515,-1,1.02E+06,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,173.267,173.267,-1,5.89E+06,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,148.515,148.515,-1,8.04E+06,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,148.515,148.515,-1,1.00E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,123.762,123.762,-1,1.00E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,106.436,106.436,-1,1.00E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,740,2,0,0,0,1,13.4,NA,NA,80.7,50,96.5347,96.5347,-1,1.00E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,225.733,225.733,-1,18153.4,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,175.57,175.57,-1,22479.8,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,150.489,150.489,-1,49409.6,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,150.489,150.489,-1,58492.6,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,124.267,124.267,-1,1.11E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,99.1857,99.1857,-1,1.33E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,125.407,125.407,-1,2.55E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,99.1857,99.1857,-1,9.85E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,99.1857,99.1857,-1,2.00E+06,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,74.1042,74.1042,-1,2.87E+06,1,44,,
15~45,NA,NA,400,50,60,NA,z,740,1,0,0,0,1,13.4,NA,NA,80.7,50,49.0228,49.0228,-1,1.00E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,1200,2,0,0,0,1,13.4,NA,NA,80.7,50,251.954,251.954,-1,24049.6,1,44,,
15~45,NA,NA,400,50,60,NA,z,1200,2,0,0,0,1,13.4,NA,NA,80.7,50,201.792,201.792,-1,70028.8,1,44,,
15~45,NA,NA,400,50,60,NA,z,1200,2,0,0,0,1,13.4,NA,NA,80.7,50,176.71,176.71,-1,97044.4,1,44,,
15~45,NA,NA,400,50,60,NA,z,1200,2,0,0,0,1,13.4,NA,NA,80.7,50,175.57,175.57,-1,25729,1,44,,
15~45,NA,NA,400,50,60,NA,z,1200,2,0,0,0,1,13.4,NA,NA,80.7,50,125.407,125.407,-1,6.50E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,1200,2,0,0,0,1,13.4,NA,NA,80.7,50,100.326,100.326,-1,1.51E+06,1,44,,
15~45,NA,NA,400,50,60,NA,z,1200,2,0,0,0,1,13.4,NA,NA,80.7,50,151.629,151.629,-1,1.00E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,250.814,250.814,-1,25729,1,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,303.257,303.257,-1,1.59E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,251.954,251.954,-1,2.16E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,176.71,176.71,-1,3.54E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,201.792,201.792,-1,5.94E+05,1,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,151.629,151.629,-1,2.00E+06,1,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,100.326,100.326,-1,3.32E+06,1,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,226.873,226.873,-1,1.01E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,201.792,201.792,-1,1.01E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,125.407,125.407,-1,1.01E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,100.326,100.326,-1,1.01E+07,0,44,,
15~45,NA,NA,400,50,60,NA,z,900,2,0,0,0,1,13.4,NA,NA,80.7,50,75.2443,75.2443,-1,1.01E+07,0,44,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,225.3735,450.747,-3,87538.6,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,225.3735,450.747,-3,1.46E+05,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,200.6605,401.321,-3,2.85E+05,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,200.6605,401.321,-3,5.14E+05,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,175.7175,351.435,-3,6.90E+05,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,175.7175,351.435,-3,1.91E+07,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,163.0755,326.151,-3,5.08E+07,0,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,150.0925,300.185,-3,5.08E+07,0,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,351.435,351.435,-1,52453,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,351.435,351.435,-1,72664,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,300.185,300.185,-1,48537,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,300.185,300.185,-1,96082,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,300.185,300.185,-1,103835,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,275.143,275.143,-1,165406,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,275.143,275.143,-1,259429,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,275.143,275.143,-1,280363,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,250.106,250.106,-1,193176,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,250.106,250.106,-1,280363,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,225.47,225.47,-1,229138,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,250.106,250.106,-1,13576490,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,225.47,225.47,-1,50000000,0,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,200.746,200.746,-1,50000000,0,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,446.1022222,200.746,0.1,61260,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,389.0333333,175.065,0.1,112213,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,389.0333333,175.065,0.1,127048,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,333.68,150.156,0.1,131053,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,320.1222222,144.055,0.1,184388,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,320.1222222,144.055,0.1,218714,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,333.68,150.156,0.1,406899,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,333.68,150.156,0.1,50782060,0,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,320.1222222,144.055,0.1,50782060,0,51,,
mean 9,23,NA,NA,NA,NA,NA,z,670,5,0,0,0,1,6.83,NA,NA,38.4,150,305.8444444,137.63,0.1,50782060,0,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,556.6622222,250.498,0.1,37635.4,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,556.6622222,250.498,0.1,71905.8,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,556.6622222,250.498,0.1,74589.7,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,500.14,225.063,0.1,47467.1,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,500.14,225.063,0.1,62101.7,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,500.14,225.063,0.1,78324.8,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,472.7355556,212.731,0.1,1.55E+05,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,446.8311111,201.074,0.1,8.90E+05,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,474.0688889,213.331,0.1,9.24E+05,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,446.8311111,201.074,0.1,5.91E+06,1,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,445.5733333,200.508,0.1,5.00E+07,0,51,,
mean 9,23,NA,NA,NA,NA,NA,z,920,2,0,0,0,1,NA,NA,NA,NA,150,417.6133333,187.926,0.1,5.00E+07,0,51,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,502,225.9,0.1,24735.2,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,502,225.9,0.1,28511,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,502,225.9,0.1,31158.3,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,502,225.9,0.1,33452,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,400,180,0.1,56988.1,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,400,180,0.1,62279.4,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,402,180.9,0.1,73072.4,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,300,135,0.1,1.51E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,300,135,0.1,1.74E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,220,99,0.1,1.24E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,242,108.9,0.1,3.31E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,252,113.4,0.1,3.74E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,242,108.9,0.1,4.80E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,222,99.9,0.1,4.89E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,250,112.5,0.1,5.25E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,222,99.9,0.1,7.75E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,216,97.2,0.1,7.75E+05,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,202,90.9,0.1,3.45E+06,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,222,99.9,0.1,8.37E+06,1,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,222,99.9,0.1,1.00E+07,0,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,214,96.3,0.1,1.00E+07,0,53,,
NA,NA,NA,200,NA,30,45.33,z,650,3,0,0,0,1,12,NA,NA,NA,50,198,89.1,0.1,1.00E+07,0,53,,
15-45,23,1000,400,160,50,50,vertical,700,1,0,0,0,1,15.45,NA,NA,NA,NA,332,332,-1,1.04E+04,1,55,6,Thin-walled specimens
15-45,23,1000,400,160,50,50,vertical,700,1,0,0,0,1,15.45,NA,NA,NA,NA,223,223,-1,2.70E+04,1,55,6,
15-45,23,1000,400,160,50,50,vertical,700,1,0,0,0,1,15.45,NA,NA,NA,NA,191,191,-1,4.70E+04,1,55,6,
15-45,23,1000,400,160,50,50,vertical,700,1,0,0,0,1,15.45,NA,NA,NA,NA,191,191,-1,1.83E+04,1,55,6,
15-45,23,1000,400,160,50,50,vertical,700,1,0,0,0,1,15.45,NA,NA,NA,NA,140,140,-1,4.09E+05,1,55,6,
15-45,23,1000,400,160,50,50,vertical,700,1,0,0,0,1,15.45,NA,NA,NA,NA,100,100,-1,3.49E+06,0,55,6,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,622.713,622.713,-1,3131.385,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,627.129,627.129,-1,3977.98,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,607.256,607.256,-1,3977.98,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,375.394,375.394,-1,19096.6,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,364.353,364.353,-1,18107.6,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,123.659,123.659,-1,530120,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,114.826,114.826,-1,574138,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,123.659,123.659,-1,10000000,0,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,624.921,624.921,-1,4543.595,1,57,7,
